WMoos_F5_Ms1,WMoos_F5_Ms2,WMoos_F5_Ms3,WMoos_F5_Ms4,WMoos_F5_Ms5,WMoos_F5_Ms6,WMoos_F5_Ms7,WMoos_F5_Ms8,activity
1.429656982,1.142089844,0.435699463,5.483093262,13.07180786,5.703491211,0.447479248,2.057800293,waveIn
5.150909424,2.782012939,0.511413574,3.188171387,8.160797119,3.900390625,0.681488037,3.472229004,waveIn
4.724395752,1.041809082,0.425384521,3.89163208,5.713623047,3.545501709,1.307800293,0.689941406,waveIn
3.184387207,1.74130249,0.491882324,5.21875,8.639007568,3.822021484,0.924591064,0.969299316,waveIn
3.533172607,1.445678711,0.50012207,2.685638428,7.356842041,7.224151611,1.705627441,2.643035889,waveIn
1.146606445,0.618591309,0.308532715,3.029327393,5.714019775,4.520294189,0.566375732,1.496887207,waveIn
1.728088379,1.659881592,0.260284424,2.456787109,7.618927002,2.714202881,0.254577637,1.484619141,waveIn
1.37713623,0.526794434,0.293792725,4.650024414,8.821807861,3.972717285,0.88168335,1.645599365,waveIn
1.946228027,3.160827637,0.638214111,1.533843994,10.77783203,4.589904785,1.120574951,3.149963379,waveIn
1.839538574,1.342681885,0.362640381,2.024597168,6.951080322,4.276092529,0.409210205,1.966461182,waveIn
3.00100708,0.683624268,0.255493164,3.969390869,7.378479004,3.050048828,0.292175293,0.855560303,waveIn
1.08114624,0.51675415,0.234680176,2.477325439,11.69317627,3.748352051,0.45022583,3.282531738,waveIn
1.164611816,0.641113281,0.226959229,3.063140869,10.5894165,4.28125,0.817016602,0.691223145,waveIn
1.857666016,0.559387207,0.205169678,2.160888672,4.325714111,3.930328369,0.3644104,1.277862549,waveIn
3.389251709,2.190704346,0.913787842,2.424621582,11.97668457,2.341888428,0.415802002,3.920684814,waveIn
2.550231934,0.852020264,0.216003418,3.876373291,6.993347168,5.762817383,0.849334717,2.011138916,waveIn
2.634887695,4.317687988,0.161590576,0.345611572,0.777313232,4.191802979,9.63885498,3.719696045,fist
1.940460205,6.639892578,0.296447754,0.521850586,1.390441895,4.969329834,15.48901367,7.636230469,fist
1.897613525,6.018218994,0.18270874,0.294006348,0.802337646,4.459014893,14.97610474,6.752807617,fist
1.401275635,5.683074951,0.129882813,0.30871582,0.431152344,1.230163574,9.027832031,5.724578857,fist
1.515838623,2.068603516,0.116607666,0.208190918,0.539916992,2.392425537,11.61218262,6.052215576,fist
2.742767334,11.20291138,0.437194824,0.830200195,2.418823242,8.122680664,21.53997803,12.35876465,fist
3.852600098,6.510101318,0.28414917,0.548370361,1.421234131,7.247680664,17.91760254,11.77056885,fist
6.662017822,8.739044189,0.48147583,0.68737793,1.714141846,4.89453125,16.02633667,10.24685669,fist
4.114196777,6.913269043,0.32635498,0.526580811,1.809997559,3.879364014,10.98458862,6.881408691,fist
3.433135986,7.442596436,0.445861816,0.602264404,2.306915283,5.179260254,16.85723877,11.63949585,fist
1.694000244,3.272888184,0.138061523,0.370422363,0.554260254,1.759399414,9.563781738,4.627319336,fist
4.083770752,3.550506592,0.219696045,0.413482666,0.480133057,2.414276123,13.49771118,5.6328125,fist
2.186218262,5.611846924,0.190063477,0.35635376,1.330444336,4.318908691,8.833496094,5.268218994,fist
3.414886475,7.623199463,0.293945313,0.545684814,1.356140137,5.374267578,16.4954834,10.21942139,fist
